Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,K1,K2,Terdekat
1,5.1,3.5,1.4,0.2,4.650806382,4.140048309,K2
2,4.9,3,1.4,0.2,4.718050445,4.153311931,K2
3,4.7,3.2,1.3,0.2,4.848711169,4.298837052,K2
4,4.6,3.1,1.5,0.2,4.719110086,4.149698784,K2
5,5,3.6,1.4,0.2,4.678675026,4.173727351,K2
6,5.4,3.9,1.7,0.4,4.264973622,3.818376618,K2
7,4.6,3.4,1.4,0.3,4.749736835,4.217819342,K2
8,5,3.4,1.5,0.2,4.589117562,4.060788101,K2
9,4.4,2.9,1.4,0.2,4.888762625,4.302324953,K2
10,4.9,3.1,1.5,0.1,4.672258554,4.106093034,K2
11,5.4,3.7,1.5,0.2,4.511097427,4.032369031,K2
12,4.8,3.4,1.6,0.2,4.561797891,4.022437072,K2
13,4.8,3,1.4,0.1,4.79165942,4.217819342,K2
14,4.3,3,1.1,0.1,5.205766034,4.631414471,K2
15,5.8,4,1.2,0.2,4.750789408,4.333589736,K2
16,5.7,4.4,1.5,0.4,4.479955357,4.11339276,K2
17,5.4,3.9,1.3,0.4,4.616275555,4.178516483,K2
18,5.1,3.5,1.4,0.3,4.606517123,4.102438299,K2
19,5.7,3.8,1.7,0.3,4.254409477,3.806573262,K2
20,5.1,3.8,1.5,0.3,4.536518489,4.060788101,K2
21,5.4,3.4,1.7,0.2,4.328972164,3.811823711,K2
22,5.1,3.7,1.5,0.4,4.485532298,4.006245125,K2
23,4.6,3.6,1,0.2,5.135172831,4.628174586,K2
24,5.1,3.3,1.7,0.5,4.260281681,3.738983819,K2
25,4.8,3.4,1.9,0.2,4.315089802,3.764306045,K2
26,5,3,1.6,0.2,4.522167622,3.952214569,K2
27,5,3.4,1.6,0.4,4.414748011,3.896151948,K2
28,5.2,3.5,1.5,0.2,4.54202598,4.032369031,K2
29,5.2,3.4,1.4,0.2,4.627094121,4.110960958,K2
30,4.7,3.2,1.6,0.2,4.597825573,4.036087214,K2
31,4.8,3.1,1.6,0.2,4.57165178,4.003748244,K2
32,5.4,3.4,1.5,0.4,4.411349,3.91535439,K2
33,5.2,4.1,1.5,0.1,4.641120554,4.189272013,K2
34,5.5,4.2,1.4,0.2,4.641120554,4.224926035,K2
35,4.9,3.1,1.5,0.1,4.672258554,4.106093034,K2
36,5,3.2,1.2,0.2,4.850773134,4.315089802,K2
37,5.5,3.5,1.3,0.2,4.660472079,4.172529209,K2
38,4.9,3.1,1.5,0.1,4.672258554,4.106093034,K2
39,4.4,3,1.3,0.2,4.961854492,4.387482194,K2
40,5.1,3.4,1.5,0.2,4.563989483,4.039801975,K2
41,5,3.5,1.3,0.3,4.718050445,4.213074887,K2
42,4.5,2.3,1.3,0.3,4.990991885,4.374928571,K2
43,4.4,3.2,1.3,0.2,4.949747468,4.392038251,K2
44,5,3.5,1.6,0.6,4.333589736,3.840572874,K2
45,5.1,3.8,1.9,0.4,4.150903516,3.67151195,K2
46,4.8,3,1.4,0.3,4.703190407,4.141255848,K2
47,5.1,3.8,1.6,0.2,4.496665431,4.011234224,K2
48,4.6,3.2,1.4,0.2,4.796873982,4.240283009,K2
49,5.3,3.7,1.5,0.2,4.529900661,4.045985665,K2
50,5,3.3,1.4,0.2,4.675467891,4.141255848,K2
51,7,3.2,4.7,1.4,1.407124728,1.252996409,K2
52,6.4,3.2,4.5,1.5,1.236931688,0.860232527,K2
53,6.9,3.1,4.9,1.5,1.212435565,1.067707825,K2
54,5.5,2.3,4,1.3,2.158703314,1.452583905,K2
55,6.5,2.8,4.6,1.5,1.315294644,0.860232527,K2
56,5.7,2.8,4.5,1.3,1.555634919,0.830662386,K2
57,6.3,3.3,4.7,1.6,1,0.670820393,K2
58,4.9,2.4,3.3,1,2.964793416,2.289104628,K2
59,6.6,2.9,4.6,1.3,1.431782106,1,K2
60,5.2,2.7,3.9,1.4,2.133072901,1.476482306,K2
61,5,2,3.5,1,2.949576241,2.238302929,K2
62,5.9,3,4.2,1.5,1.526433752,0.948683298,K2
63,6,2.2,4,1,2.264950331,1.58113883,K2
64,6.1,2.9,4.7,1.4,1.2489996,0.608276253,K2
65,5.6,2.9,3.6,1.3,2.202271555,1.61245155,K2
66,6.7,3.1,4.4,1.4,1.46628783,1.140175425,K2
67,5.6,3,4.5,1.5,1.403566885,0.734846923,K2
68,5.8,2.7,4.1,1,2.00748599,1.319090596,K2
69,6.2,2.2,4.5,1.5,1.7,1.086278049,K2
70,5.6,2.5,3.9,1.1,2.204540769,1.506651917,K2
71,5.9,3.2,4.8,1.8,0.860232527,0.360555128,K2
72,6.1,2.8,4,1.3,1.824828759,1.240967365,K2
73,6.3,2.5,4.9,1.5,1.307669683,0.734846923,K2
74,6.1,2.8,4.7,1.2,1.438749457,0.774596669,K2
75,6.4,2.9,4.3,1.3,1.58113883,1.072380529,K2
76,6.6,3,4.4,1.4,1.459451952,1.067707825,K2
77,6.8,2.8,4.8,1.4,1.374772708,1.048808848,K2
78,6.7,3,5,1.7,0.964365076,0.81240384,K2
79,6,2.9,4.5,1.5,1.319090596,0.68556546,K2
80,5.7,2.6,3.5,1,2.487971061,1.843908891,K2
81,5.5,2.4,3.8,1.1,2.343074903,1.643167673,K2
82,5.5,2.4,3.7,1,2.463736999,1.766352173,K2
83,5.8,2.7,3.9,1.2,2.027313493,1.378404875,K2
84,6,2.7,5.1,1.6,1.053565375,0.374165739,K2
85,5.4,3,4.5,1.5,1.5,0.836660027,K2
86,6,3.4,4.5,1.6,1.15758369,0.754983444,K2
87,6.7,3.1,4.7,1.5,1.212435565,0.948683298,K2
88,6.3,2.3,4.4,1.3,1.794435844,1.178982612,K2
89,5.6,3,4.1,1.3,1.791647287,1.15758369,K2
90,5.5,2.5,4,1.3,2.063976744,1.367479433,K2
91,5.5,2.6,4.4,1.2,1.827566688,1.081665383,K2
92,6.1,3,4.6,1.4,1.272792206,0.670820393,K2
93,5.8,2.6,4,1.2,1.992485885,1.319090596,K2
94,5,2.3,3.3,1,2.958039892,2.275961335,K2
95,5.6,2.7,4.2,1.3,1.813835715,1.113552873,K2
96,5.7,3,4.2,1.2,1.749285568,1.1,K2
97,5.7,2.9,4.2,1.3,1.71464282,1.053565375,K2
98,6.2,2.9,4.3,1.3,1.568438714,0.994987437,K2
99,5.1,2.5,3,1.1,3.03644529,2.406241883,K2
100,5.7,2.8,4.1,1.3,1.816590212,1.153256259,K2
101,6.3,3.3,6,2.5,0.64807407,1.24498996,K1
102,5.8,2.7,5.1,1.9,0.948683298,0.331662479,K2
103,7.1,3,5.9,2.1,1.122497216,1.473091986,K1
104,6.3,2.9,5.6,1.8,0.741619849,0.64807407,K2
105,6.5,3,5.8,2.2,0.64807407,1.004987562,K1
106,7.6,3,6.6,2.1,1.897366596,2.286919325,K1
107,4.9,2.5,4.5,1.7,1.915724406,1.272792206,K2
108,7.3,2.9,6.3,1.8,1.587450787,1.846618531,K1
109,6.7,2.5,5.8,1.8,1.212435565,1.174734012,K1
110,7.2,3.6,6.1,2.5,1.252996409,1.881488772,K1
111,6.5,3.2,5.1,2,0.556776436,0.663324958,K1
112,6.4,2.7,5.3,1.9,0.836660027,0.6244998,K2
113,6.8,3,5.5,2.1,0.754983444,1.029563014,K1
114,5.7,2.5,5,2,1.144552314,0.583095189,K2
115,5.8,2.8,5.1,2.4,0.787400787,0.640312424,K2
116,6.4,3.2,5.3,2.3,0.3,0.761577311,K1
117,6.5,3,5.5,1.8,0.714142843,0.721110255,K1
118,7.7,3.8,6.7,2.2,2.027313493,2.569046516,K1
119,7.7,2.6,6.9,2.3,2.26715681,2.62488095,K1
120,6,2.2,5,1.5,1.509966887,0.866025404,K2
121,6.9,3.2,5.7,2.3,0.787400787,1.284523258,K1
122,5.6,2.8,4.9,2,1.029563014,0.458257569,K2
123,7.7,2.8,6.7,2,2.095232684,2.424871131,K1
124,6.3,2.7,4.9,1.8,1,0.538516481,K2
125,6.7,3.3,5.7,2.1,0.6244998,1.086278049,K1
126,7.2,3.2,6,1.8,1.284523258,1.593737745,K1
127,6.2,2.8,4.8,1.8,0.98488578,0.469041576,K2
128,6.1,3,4.9,1.8,0.818535277,0.282842712,K2
129,6.4,2.8,5.6,2.1,0.692820323,0.793725393,K1
130,7.2,3,5.8,1.6,1.345362405,1.489966443,K1
131,7.4,2.8,6.1,1.9,1.565247584,1.816590212,K1
132,7.9,3.8,6.4,2,2.034698995,2.523885893,K1
133,6.4,2.8,5.6,2.2,0.670820393,0.836660027,K1
134,6.3,2.8,5.1,1.5,1.048808848,0.538516481,K2
135,6.1,2.6,5.6,1.4,1.224744871,0.781024968,K2
136,7.7,3,6.1,2.3,1.702938637,2.11896201,K1
137,6.3,3.4,5.6,2.4,0.244948974,0.964365076,K1
138,6.4,3.1,5.5,1.8,0.6244998,0.64807407,K1
139,6,3,4.8,1.8,0.9,0.316227766,K2
140,6.9,3.1,5.4,2.1,0.787400787,1.090871211,K1
141,6.7,3.1,5.6,2.4,0.6244998,1.122497216,K1
142,6.9,3.1,5.1,2.3,0.818535277,1.122497216,K1
143,5.8,2.7,5.1,1.9,0.948683298,0.331662479,K2
144,6.8,3.2,5.9,2.3,0.806225775,1.319090596,K1
145,6.7,3.3,5.7,2.5,0.6244998,1.256980509,K1
146,6.7,3,5.2,2.3,0.670820393,0.948683298,K1
147,6.3,2.5,5,1.9,1.067707825,0.655743852,K2
148,6.5,3,5.2,2,0.6164414,0.640312424,K1
149,6.2,3.4,5.4,2.3,0,0.768114575,K1
150,5.9,3,5.1,1.8,0.768114575,0,K2
,,,,,,,
,,,,,,,
,,,,,,,
,Centroid ke 1,,,,,,
149,K1,6.2,3.4,5.4,2.3,,33
150,K2,5.9,3,5.1,1.8,,117
,,,,,,,
,Centroid ke 2,,,,,,
,K1,6.906060606,3.106060606,5.812121212,2.133333333,,
,K2,5.543589744,3.039316239,3.179487179,0.935042735,,
